time,epoch,batch,loss,cost
0min2sec,0,0,-89.570,618.734
0min4sec,0,10,-62.513,480.780
0min4sec,0,20,-52.937,443.637
0min4sec,0,30,-49.781,423.372
0min4sec,0,40,-46.324,409.017
0min4sec,0,50,-45.785,397.809
0min5sec,0,60,-45.244,388.773
0min5sec,0,70,-44.235,381.376
0min5sec,0,80,-45.490,375.379
0min5sec,0,90,-45.042,369.970
0min5sec,0,100,-43.874,365.635
0min5sec,0,110,-43.460,361.752
0min3sec,0,120,-42.371,358.394
0min3sec,0,130,-41.680,355.233
0min3sec,0,140,-40.998,352.372
0min3sec,0,150,-40.552,349.805
0min3sec,0,160,-40.190,347.444
0min3sec,0,170,-39.596,345.341
0min3sec,0,180,-39.380,343.330
0min3sec,0,190,-38.871,341.420
0min3sec,0,200,-38.852,339.681
0min3sec,0,210,-38.345,337.975
0min3sec,0,220,-37.939,336.384
0min4sec,0,230,-37.590,334.899
0min5sec,0,240,-37.418,333.464
0min4sec,0,250,-37.279,332.080
0min4sec,0,260,-37.025,330.787
0min5sec,0,270,-37.187,329.596
0min3sec,0,280,-37.157,328.423
0min3sec,0,290,-36.989,327.320
0min3sec,0,300,-36.817,326.292
0min3sec,0,310,-36.501,325.286
0min3sec,0,320,-36.231,324.331
0min3sec,0,330,-36.006,323.405
0min3sec,0,340,-35.891,322.533
0min3sec,0,350,-35.740,321.694
0min3sec,0,360,-35.547,320.915
0min3sec,0,370,-35.370,320.171
0min2sec,0,380,-35.188,319.430
0min3sec,0,390,-35.039,318.738
0min3sec,0,400,-34.841,318.070
0min3sec,0,410,-34.612,317.433
0min4sec,0,420,-34.594,316.803
0min4sec,0,430,-34.572,316.170
0min4sec,0,440,-34.421,315.559
0min4sec,0,450,-34.438,314.960
0min3sec,0,460,-34.443,314.402
0min3sec,0,470,-34.378,313.843
0min4sec,0,480,-34.248,313.292
0min4sec,0,490,-34.236,312.767
0min12sec,1,0,-21.643,287.478
0min3sec,1,10,-28.709,286.655
0min3sec,1,20,-30.666,286.736
0min3sec,1,30,-30.912,286.519
0min3sec,1,40,-30.330,286.303
0min3sec,1,50,-30.437,286.115
0min3sec,1,60,-30.046,285.925
0min3sec,1,70,-29.275,285.774
0min3sec,1,80,-29.135,285.686
0min4sec,1,90,-28.851,285.608
0min4sec,1,100,-28.966,285.643
0min4sec,1,110,-28.473,285.496
0min4sec,1,120,-28.130,285.440
0min4sec,1,130,-28.399,285.331
0min4sec,1,140,-28.734,285.256
0min3sec,1,150,-28.992,285.186
0min2sec,1,160,-28.913,285.083
0min2sec,1,170,-28.485,284.986
0min2sec,1,180,-28.258,284.923
0min2sec,1,190,-27.946,284.832
0min2sec,1,200,-27.559,284.734
0min2sec,1,210,-27.188,284.626
0min2sec,1,220,-26.969,284.530
0min2sec,1,230,-26.933,284.477
0min2sec,1,240,-26.466,284.409
0min2sec,1,250,-26.447,284.354
0min2sec,1,260,-26.490,284.307
0min2sec,1,270,-26.544,284.328
0min3sec,1,280,-26.359,284.272
0min2sec,1,290,-25.973,284.197
0min2sec,1,300,-25.895,284.116
0min2sec,1,310,-26.053,284.043
0min2sec,1,320,-25.938,283.971
0min2sec,1,330,-25.764,283.889
0min3sec,1,340,-25.736,283.849
0min3sec,1,350,-25.445,283.788
0min3sec,1,360,-25.247,283.728
0min4sec,1,370,-25.627,283.785
0min4sec,1,380,-25.450,283.795
0min3sec,1,390,-25.435,283.806
0min4sec,1,400,-25.324,283.796
0min3sec,1,410,-25.138,283.774
0min3sec,1,420,-25.098,283.757
0min3sec,1,430,-24.933,283.733
0min4sec,1,440,-24.849,283.697
0min4sec,1,450,-24.593,283.671
0min4sec,1,460,-24.515,283.638
0min4sec,1,470,-24.343,283.603
0min4sec,1,480,-24.159,283.560
0min4sec,1,490,-23.988,283.522
0min12sec,2,0,-12.154,281.031
0min2sec,2,10,-13.973,281.264
0min3sec,2,20,-12.762,281.240
0min3sec,2,30,-13.883,281.395
0min3sec,2,40,-14.053,281.388
0min3sec,2,50,-13.114,281.293
0min3sec,2,60,-13.061,281.337
0min3sec,2,70,-14.186,281.377
0min3sec,2,80,-14.691,281.404
0min3sec,2,90,-14.609,281.426
0min3sec,2,100,-14.726,281.602
0min3sec,2,110,-15.162,281.749
0min3sec,2,120,-15.570,281.823
0min3sec,2,130,-15.618,281.784
0min3sec,2,140,-15.610,281.686
0min3sec,2,150,-15.385,281.525
0min3sec,2,160,-15.638,281.385
0min2sec,2,170,-15.838,281.265
0min2sec,2,180,-16.199,281.151
0min2sec,2,190,-16.069,281.003
0min3sec,2,200,-16.074,280.874
0min2sec,2,210,-16.314,280.781
0min2sec,2,220,-16.647,280.714
0min2sec,2,230,-16.970,280.626
0min2sec,2,240,-16.906,280.517
0min2sec,2,250,-17.315,280.431
0min3sec,2,260,-18.118,280.382
0min4sec,2,270,-18.295,280.291
0min4sec,2,280,-18.421,280.274
0min5sec,2,290,-18.319,280.216
0min4sec,2,300,-18.323,280.134
0min4sec,2,310,-18.520,280.062
0min4sec,2,320,-18.862,280.010
0min3sec,2,330,-19.059,279.949
0min3sec,2,340,-19.014,279.868
0min3sec,2,350,-19.174,279.790
0min3sec,2,360,-19.065,279.699
0min2sec,2,370,-18.947,279.606
0min2sec,2,380,-18.699,279.529
0min2sec,2,390,-18.455,279.443
0min2sec,2,400,-18.357,279.365
0min3sec,2,410,-18.288,279.288
0min2sec,2,420,-18.218,279.219
0min3sec,2,430,-18.130,279.156
0min3sec,2,440,-17.964,279.090
0min3sec,2,450,-17.724,279.018
0min3sec,2,460,-17.691,278.966
0min3sec,2,470,-17.467,278.900
0min3sec,2,480,-17.410,278.848
0min3sec,2,490,-17.274,278.787
0min12sec,3,0,-3.161,275.458
0min3sec,3,10,-13.403,276.167
0min3sec,3,20,-12.166,276.149
0min3sec,3,30,-12.623,276.428
0min3sec,3,40,-11.638,276.235
0min3sec,3,50,-12.127,276.299
0min3sec,3,60,-12.732,276.241
0min3sec,3,70,-12.028,276.139
0min2sec,3,80,-13.514,276.294
0min3sec,3,90,-17.230,276.500
0min3sec,3,100,-16.422,276.469
0min3sec,3,110,-16.608,276.444
0min3sec,3,120,-15.721,276.387
0min3sec,3,130,-15.025,276.318
0min3sec,3,140,-14.876,276.296
0min3sec,3,150,-14.296,276.235
0min3sec,3,160,-13.973,276.225
0min3sec,3,170,-13.909,276.203
0min2sec,3,180,-13.501,276.154
0min2sec,3,190,-13.223,276.117
0min2sec,3,200,-12.986,276.075
0min2sec,3,210,-12.749,276.047
0min2sec,3,220,-12.452,276.019
0min2sec,3,230,-12.327,275.996
0min3sec,3,240,-12.157,275.971
0min3sec,3,250,-12.047,275.953
0min2sec,3,260,-11.786,275.934
0min3sec,3,270,-11.748,275.926
0min3sec,3,280,-11.659,275.929
0min3sec,3,290,-11.525,275.913
0min3sec,3,300,-11.405,275.904
0min3sec,3,310,-11.299,275.902
0min3sec,3,320,-11.051,275.878
0min3sec,3,330,-11.000,275.869
0min3sec,3,340,-10.735,275.843
0min3sec,3,350,-10.658,275.827
0min3sec,3,360,-10.498,275.810
0min2sec,3,370,-10.483,275.801
0min2sec,3,380,-10.519,275.792
0min3sec,3,390,-10.306,275.773
0min2sec,3,400,-10.197,275.760
0min3sec,3,410,-10.122,275.748
0min2sec,3,420,-9.958,275.731
0min2sec,3,430,-9.787,275.716
0min2sec,3,440,-9.619,275.701
0min3sec,3,450,-9.734,275.713
0min2sec,3,460,-9.773,275.706
0min3sec,3,470,-9.646,275.697
0min3sec,3,480,-9.589,275.687
0min3sec,3,490,-9.644,275.681
0min13sec,4,0,-21.735,275.817
0min4sec,4,10,-9.357,275.437
0min3sec,4,20,-6.341,275.289
0min3sec,4,30,-8.242,275.485
0min3sec,4,40,-7.181,275.402
0min3sec,4,50,-6.977,275.370
0min3sec,4,60,-6.386,275.315
0min3sec,4,70,-5.992,275.287
0min3sec,4,80,-5.912,275.271
0min3sec,4,90,-5.674,275.272
0min3sec,4,100,-5.998,275.259
0min3sec,4,110,-7.121,275.318
0min3sec,4,120,-7.145,275.316
0min3sec,4,130,-6.930,275.295
0min3sec,4,140,-6.834,275.284
0min2sec,4,150,-6.666,275.270
0min3sec,4,160,-6.581,275.271
0min3sec,4,170,-6.495,275.268
0min3sec,4,180,-6.316,275.254
0min3sec,4,190,-6.327,275.247
0min3sec,4,200,-6.330,275.253
0min3sec,4,210,-6.411,275.251
0min3sec,4,220,-6.390,275.246
0min4sec,4,230,-6.334,275.240
0min3sec,4,240,-6.320,275.243
0min3sec,4,250,-6.347,275.254
0min3sec,4,260,-6.705,275.272
0min3sec,4,270,-6.613,275.266
0min4sec,4,280,-6.607,275.262
0min3sec,4,290,-6.490,275.255
0min4sec,4,300,-6.389,275.248
0min3sec,4,310,-6.351,275.245
0min4sec,4,320,-6.271,275.237
0min3sec,4,330,-6.665,275.331
0min4sec,4,340,-6.524,275.320
0min4sec,4,350,-6.503,275.316
0min4sec,4,360,-6.446,275.310
0min3sec,4,370,-6.306,275.298
0min3sec,4,380,-6.250,275.292
0min3sec,4,390,-6.168,275.287
0min3sec,4,400,-6.308,275.290
0min3sec,4,410,-6.288,275.292
0min3sec,4,420,-6.251,275.285
0min3sec,4,430,-6.215,275.277
0min3sec,4,440,-6.226,275.276
0min3sec,4,450,-6.246,275.275
0min3sec,4,460,-6.338,275.275
0min3sec,4,470,-6.282,275.269
0min4sec,4,480,-6.276,275.268
0min4sec,4,490,-6.375,275.270
